,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APPLE,are,RED,0.208,EAT,0.013,eat,0.013,seed,0.013,banana,0.02,computer,0.02,core,0.02,food,0.02,tree,0.02,green,0.027,peach,0.027,worm,0.034,pear,0.047,pie,0.074,fruit,0.154,orange,0.174,red,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARGUMENT,are,DISAGREEMENT,0.034,DISCUSSION,0.014,discussion,0.014,anger,0.02,quarrel,0.02,disagreement,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BANANA,are,FRUIT,0.215,GRAPE,0.014,grape,0.014,republic,0.014,skin,0.014,strawberry,0.014,gorilla,0.021,orange,0.042,monkey,0.062,peel,0.09,yellow,0.146,fruit,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BERRY,are,FRUIT,0.298,TREE,0.02,tree,0.02,cherry,0.026,eat,0.026,raspberry,0.026,red,0.033,blueberry,0.086,juice,0.093,strawberry,0.166,fruit,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOOT,are,SHOES,0.338,LEATHER,0.014,leather,0.014,sneakers,0.014,army,0.02,leg,0.041,cowboy,0.061,foot,0.142,camp,0.149,shoes,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOX,are,SQUARE,0.194,CUBE,0.02,cube,0.02,glove,0.02,letter,0.02,match,0.02,storage,0.02,toy,0.02,car,0.031,carton,0.031,paper,0.031,present,0.031,gift,0.051,container,0.061,shoe,0.071,cardboard,0.092,square,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHERRY,are,RED,0.217,BLOSSOM,0.014,blossom,0.014,grape,0.014,ice cream,0.014,stem,0.014,bomb,0.021,coke,0.021,strawberry,0.021,virgin,0.021,pit,0.035,tree,0.035,soda,0.042,fruit,0.168,pie,0.182,red,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COAT,are,JACKET,0.176,CLOTHES,0.014,clothes,0.014,mink,0.014,paint,0.014,fur,0.027,sweater,0.027,rain,0.047,winter,0.061,hat,0.162,jacket,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CROW,are,BIRD,0.538,FARM,0.014,farm,0.014,rooster,0.014,eat,0.021,scarecrow,0.034,corn,0.048,bird,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURTAIN,are,DRAPES,0.26,BLINDS,0.016,blinds,0.016,iron,0.016,wall,0.016,shower,0.031,stage,0.039,shade,0.079,window,0.189,rod,0.213,drapes,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ERROR,are,MISTAKE,0.679,COMPUTER,0.014,computer,0.014,eraser,0.014,mistake,0.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR,contains,OXYGEN,0.142,ATMOSPHERE,0.014,atmosphere,0.014,balloon,0.014,life,0.014,molecule,0.014,wind,0.027,condition,0.034,sky,0.047,pollution,0.054,cloud,0.068,water,0.068,plane,0.088,oxygen,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALENDAR,contains,DATE,0.305,SCHEDULE,0.013,schedule,0.013,event,0.019,time,0.045,girl,0.078,year,0.117,day,0.13,month,0.149,date,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CROWD,contains,PEOPLE,0.485,NOISE,0.012,noise,0.012,party,0.012,riot,0.012,stadium,0.012,bunch,0.018,mass,0.024,concert,0.036,group,0.055,mob,0.067,people,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALCULATOR,do,MATH,0.496,ANSWER,0.015,answer,0.015,calculus,0.015,machine,0.015,science,0.015,tool,0.015,button,0.023,computer,0.023,numbers,0.16,math,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BALLOON,has,AIR,0.189,BALL,0.014,ball,0.014,birthday,0.014,circus,0.014,color,0.014,rubber,0.014,sky,0.014,string,0.014,party,0.02,clown,0.027,red,0.081,helium,0.115,air,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CORN,has,COB,0.326,FOOT,0.014,foot,0.014,flake,0.022,indian,0.022,bread,0.029,butter,0.029,vegetable,0.029,eat,0.043,field,0.043,food,0.058,yellow,0.065,husk,0.123,cob,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESK,has,CHAIR,0.29,BOOK,0.014,book,0.014,homework,0.014,office,0.014,pencil,0.014,school,0.014,teacher,0.014,wood,0.014,clerk,0.021,paper,0.021,student,0.021,pen,0.028,lamp,0.034,study,0.062,work,0.069,table,0.09,top,0.103,chair,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAT,hate,DOG,0.513,KITTEN,0.16,kitten,0.16,mouse,0.256,dog,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIRPORT,have,PLANE,0.757,PEOPLE,0.014,people,0.014,trip,0.014,plane,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIRDS,have,FEATHER,0.072,EGGS,0.013,eggs,0.013,penguin,0.013,sky,0.013,trees,0.013,dove,0.02,prey,0.02,song,0.02,wings,0.02,nest,0.026,robin,0.033,feather,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRAYON,have,COLOR,0.483,YELLOW,0.013,yellow,0.013,drawing,0.02,kids,0.02,child,0.027,green,0.027,blue,0.04,pencil,0.047,crayola,0.06,marker,0.081,red,0.081,color,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DRAWER,have,DRESSER,0.305,STORAGE,0.016,storage,0.016,bureau,0.024,cabinet,0.024,closet,0.024,desk,0.111,chest,0.127,clothes,0.127,dresser,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FARM,have,ANIMAL,0.376,CHICKEN,0.024,chicken,0.024,crops,0.024,land,0.024,pig,0.024,tractor,0.024,ranch,0.036,barn,0.042,house,0.042,country,0.055,cow,0.176,animal,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRIB,hold,BABY,0.842,DEATH,0.014,death,0.014,house,0.014,bed,0.065,baby,0.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BAND,make,MUSIC,0.432,CLARINET,0.014,clarinet,0.014,flute,0.014,noise,0.014,song,0.014,bandaid,0.021,group,0.021,wagon,0.028,drum,0.035,instrument,0.042,rock,0.062,music,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEE,make,HONEY,0.22,WASP,0.016,wasp,0.016,insect,0.055,hive,0.173,honey,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BUSINESS,make,MONEY,0.162,BANK,0.014,bank,0.014,card,0.014,man,0.014,math,0.014,trip,0.014,partner,0.021,phone,0.021,pleasure,0.021,school,0.021,building,0.028,corporation,0.035,office,0.035,suit,0.035,job,0.049,work,0.12,money,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COW,make,MILK,0.352,FAT,0.012,fat,0.012,animal,0.018,pig,0.024,pasture,0.042,farm,0.055,horse,0.061,bull,0.097,calf,0.194,milk,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRY,makes,TEARS,0.217,SORROW,0.014,sorrow,0.014,smile,0.029,baby,0.109,tears,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIRT,makes,MUD,0.276,GRIT,0.012,grit,0.012,plant,0.012,bike,0.018,brown,0.018,grease,0.018,mess,0.018,bath,0.024,grime,0.024,ground,0.03,filth,0.037,soil,0.055,sand,0.176,mud,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLOCK,tell,TIME,0.652,RADIO,0.012,radio,0.012,work,0.03,hands,0.036,tick,0.073,alarm,0.079,time,0.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BASEBALL,uses,BAT,0.311,BALL,0.014,ball,0.014,base,0.014,boring,0.014,card,0.014,diamond,0.014,team,0.014,hat,0.02,cap,0.027,field,0.027,glove,0.027,player,0.027,basketball,0.034,football,0.068,game,0.108,sport,0.128,bat,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEAD,,NECKLACE,0.384,BED,0.011,bed,0.011,chain,0.011,dress,0.011,hair,0.011,rain,0.011,book,0.015,glass,0.016,head,0.016,love,0.016,wax,0.016,bracelet,0.022,gold,0.022,jewelry,0.022,thread,0.022,ball,0.027,pearl,0.027,string,0.029,water,0.029,necklace,0.384,,,,,,,,,,,,,,,,,,,,,,
,CARRIAGE,,HORSE,0.365,PRINCESS,0.01,princess,0.01,house,0.015,car,0.021,wagon,0.021,coach,0.036,cart,0.046,buggy,0.098,baby,0.187,horse,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAR,,AUTO,0.133,ENGINE,0.011,engine,0.011,money,0.011,plane,0.011,race,0.011,road,0.011,speed,0.011,street,0.011,train,0.011,bus,0.022,wheel,0.022,transportation,0.033,gas,0.039,boat,0.061,bicycle,0.078,truck,0.111,auto,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SLOPE,can,ANGLE,0.026,INCLINE,0.013,incline,0.013,rise,0.013,angle,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,