"Occurences","Word","Length","Freq_HAL","Log_Freq_HAL","BG_Mean"
"1","aid","3","18556","9.83","882.50"
"1","analyze","7","5402","8.59","1672.50"
"1","annoy","5","3874","8.26","1196.75"
"1","arrest","6","6567","8.79","3227.80"
"1","awake","5","3506","8.16","529.75"
"1","bake","4","2528","7.84","668.67"
"1","beat","4","33104","10.41","2284.67"
"1","bend","4","6891","8.84","2145.33"
"1","betray","6","771","6.65","1486.60"
"1","bleach","6","1319","7.18","1878.40"
"1","boil","4","3837","8.25","848.67"
"1","bounce","6","4232","8.35","1465.00"
"1","break","5","47766","10.77","1815.75"
"1","burn","4","12496","9.43","781.67"
"1","buzz","4","3746","8.23","207.33"
"1","call","4","241962","12.40","2161.33"
"1","carry","5","36637","10.51","1495.00"
"1","chew","4","2861","7.96","1191.67"
"1","chirp","5","298","5.70","920.00"
"1","confuse","7","5129","8.54","1887.17"
"1","crash","5","19106","9.86","1663.25"
"1","create","6","73169","11.20","3145.80"
"1","cruise","6","7516","8.92","1337.20"
"1","cry","3","13252","9.49","715.00"
"1","cuddle","6","595","6.39","989.60"
"1","decide","6","35825","10.49","1667.20"
"1","discover","8","11099","9.31","2370.00"
"1","disguise","8","2140","7.67","1466.14"
"1","drive","5","171708","12.05","1511.00"
"1","erupt","5","395","5.98","1898.50"
"1","evaluate","8","7252","8.89","1943.57"
"1","fasten","6","491","6.20","2731.20"
"1","feel","4","162048","12.00","1058.33"
"1","flex","4","2762","7.92","1497.67"
"1","flip","4","5994","8.70","1249.00"
"1","float","5","5604","8.63","1635.75"
"1","flow","4","21063","9.96","876.00"
"1","frustrate","9","258","5.55","2431.13"
"1","hear","4","90309","11.41","2176.33"
"1","hide","4","14077","9.55","1511.00"
"1","hit","3","64135","11.07","1631.50"
"1","hurt","4","28018","10.24","882.33"
"1","insult","6","7102","8.87","2206.40"
"1","jam","3","10904","9.30","533.50"
"1","jerk","4","4772","8.47","2193.00"
"1","kiss","4","12848","9.46","1585.33"
"1","laugh","5","13449","9.51","819.75"
"1","lead","4","48779","10.80","2094.00"
"1","leap","4","6090","8.71","2034.67"
"1","learn","5","71507","11.18","2167.25"
"1","lie","3","21911","9.99","2000.50"
"1","live","4","128442","11.76","1840.67"
"1","look","4","253524","12.44","874.67"
"1","lubricate","9","451","6.11","2134.75"
"1","magnify","7","253","5.53","807.17"
"1","make","4","520909","13.16","969.67"
"1","mimic","5","958","6.86","1480.50"
"1","move","4","80091","11.29","1135.33"
"1","perform","7","24590","10.11","1981.00"
"1","pick","4","45297","10.72","1351.67"
"1","plow","4","763","6.64","977.33"
"1","pluck","5","532","6.28","686.00"
"1","pop","3","22982","10.04","913.00"
"1","post","4","275951","12.53","1828.33"
"1","prime","5","22011","10.00","1711.25"
"1","protect","7","29349","10.29","1871.33"
"1","quack","5","628","6.44","846.25"
"1","rap","3","5295","8.57","1991.50"
"1","roar","4","1516","7.32","1842.67"
"1","rob","3","21934","10.00","1251.00"
"1","sew","3","1312","7.18","1170.00"
"1","shake","5","5292","8.57","917.25"
"1","sing","4","10917","9.30","4170.67"
"1","sink","4","8579","9.06","2959.67"
"1","slither","7","183","5.21","2431.50"
"1","sneeze","6","540","6.29","771.20"
"1","soar","4","864","6.76","1389.00"
"1","spill","5","1609","7.38","1174.75"
"1","split","5","22189","10.01","1632.75"
"1","stain","5","1776","7.48","3314.00"
"1","steal","5","11268","9.33","3209.75"
"1","target","6","29601","10.30","1542.60"
"1","toast","5","3064","8.03","1700.75"
"1","tumble","6","568","6.34","1279.00"
"1","upset","5","11355","9.34","1023.50"
"1","walk","4","33093","10.41","1278.00"
"1","worry","5","27060","10.21","1076.00"
"2","a","1","10610626","16.18","NULL"
"2","acrobats","8","66","4.19","1532.29"
"2","admirably","9","417","6.03","1269.25"
"2","airplanes","9","1699","7.44","1879.88"
"2","alarms","6","1466","7.29","1765.60"
"2","alertly","7","13","2.56","2601.50"
"2","anchors","7","616","6.42","1969.17"
"2","ants","4","4321","8.37","2502.33"
"2","architects","10","1790","7.49","1779.89"
"2","artists","7","16884","9.73","2679.17"
"2","babies","6","8483","9.05","1628.20"
"2","badly","5","11077","9.31","921.00"
"2","balloons","8","1114","7.02","2045.00"
"2","bands","5","17342","9.76","1609.25"
"2","bats","4","3884","8.26","1988.00"
"2","bees","4","5073","8.53","2072.33"
"2","birds","5","14487","9.58","617.00"
"2","blindly","7","2137","7.67","2406.83"
"2","blow","4","16920","9.74","1111.67"
"2","boats","5","5615","8.63","1592.75"
"2","bombs","5","6192","8.73","658.75"
"2","brains","6","6642","8.80","2671.00"
"2","bugs","4","18337","9.82","369.33"
"2","build","5","47708","10.77","678.75"
"2","buildings","9","6984","8.85","1959.88"
"2","burglars","8","253","5.53","1295.29"
"2","cars","4","31247","10.35","2079.00"
"2","cheat","5","6137","8.72","2315.50"
"2","children","8","96102","11.47","1874.00"
"2","clamps","6","865","6.76","945.40"
"2","clothes","7","14338","9.57","1752.33"
"2","cooks","5","806","6.69","967.00"
"2","critics","7","5367","8.59","2169.50"
"2","deeply","6","7942","8.98","1293.20"
"2","defend","6","15251","9.63","1839.40"
"2","distantly","9","161","5.08","2317.88"
"2","distinctly","10","1558","7.35","2708.22"
"2","dramatically","12","4480","8.41","2309.91"
"2","draw","4","26592","10.19","1244.00"
"2","ducks","5","2221","7.71","496.25"
"2","eagles","6","2807","7.94","2188.00"
"2","ears","4","12268","9.41","2083.00"
"2","earthquakes","11","2027","7.61","1380.50"
"2","easily","6","52243","10.86","1588.20"
"2","enemies","7","9064","9.11","2369.33"
"2","engines","7","10520","9.26","3662.00"
"2","everyone","8","119257","11.69","2306.57"
"2","everything","10","112573","11.63","2494.11"
"2","explode","7","2963","7.99","1027.33"
"2","eyes","4","58027","10.97","1635.67"
"2","farmers","7","4683","8.45","2224.67"
"2","feet","4","40143","10.60","931.67"
"2","fields","6","25419","10.14","906.20"
"2","fight","5","40281","10.60","607.25"
"2","fish","4","30614","10.33","1618.00"
"2","for","3","4958036","15.42","1672.00"
"2","frogs","5","1542","7.34","825.00"
"2","fry","3","4052","8.31","506.00"
"2","gardeners","9","428","6.06","2566.25"
"2","gracefully","10","989","6.90","1334.00"
"2","grasshoppers","12","120","4.79","1811.00"
"2","grow","4","24803","10.12","1192.33"
"2","guards","6","5481","8.61","964.40"
"2","guides","6","7646","8.94","1749.80"
"2","gymnasts","8","87","4.47","1112.57"
"2","hair","4","42603","10.66","957.67"
"2","haphazardly","11","138","4.93","943.60"
"2","hard","4","176370","12.08","1579.33"
"2","heads","5","17890","9.79","1257.50"
"2","hearts","6","8055","8.99","1707.60"
"2","honorably","9","210","5.35","2024.13"
"2","hop","3","4485","8.41","972.50"
"2","houses","6","11777","9.37","2171.40"
"2","important","9","105978","11.57","1873.63"
"2","insects","7","2369","7.77","2374.00"
"2","inventors","9","887","6.79","2683.13"
"2","involuntarily","13","574","6.35","2070.17"
"2","joyfully","8","175","5.16","700.14"
"2","judges","6","7640","8.94","1275.00"
"2","justly","6","518","6.25","1435.40"
"2","knees","5","9040","9.11","1934.75"
"2","legs","4","26451","10.18","1374.33"
"2","lips","4","14796","9.60","1193.33"
"2","lovingly","8","792","6.67","2224.43"
"2","majestically","12","50","3.91","2272.36"
"2","masks","5","1897","7.55","899.50"
"2","mildew","6","306","5.72","1208.60"
"2","movies","6","30450","10.32","1602.80"
"2","muscles","7","7457","8.92","1864.17"
"2","needles","7","2721","7.91","2641.17"
"2","noses","5","1562","7.35","2041.00"
"2","noticeably","10","1126","7.03","1772.22"
"2","often","5","117801","11.68","2142.75"
"2","oil","3","34785","10.46","891.00"
"2","ovens","5","569","6.34","2028.50"
"2","pans","4","1067","6.97","2145.67"
"2","parrots","7","700","6.55","1449.17"
"2","peacefully","10","1580","7.37","1291.78"
"2","planes","6","7916","8.98","2608.60"
"2","plants","6","17049","9.74","2060.60"
"2","play","4","149546","11.92","1073.00"
"2","police","6","48000","10.78","1809.00"
"2","politicians","11","9755","9.19","2181.20"
"2","prick","5","3224","8.08","1863.00"
"2","puzzles","7","2929","7.98","1407.67"
"2","rabbits","7","1990","7.60","1348.33"
"2","rapidly","7","11246","9.33","1251.00"
"2","rivers","6","4190","8.34","2655.80"
"2","scare","5","4294","8.36","2546.75"
"2","see","3","580882","13.27","1450.50"
"2","sentence","8","14984","9.61","2872.29"
"2","sharks","6","2319","7.75","1183.00"
"2","ships","5","17949","9.80","803.25"
"2","singers","7","3361","8.12","3559.00"
"2","snakes","6","2618","7.87","1462.40"
"2","soap","4","8037","8.99","691.67"
"2","space","5","113076","11.64","1255.75"
"2","stomachs","8","327","5.79","1554.57"
"2","stop","4","96586","11.48","1894.00"
"2","strongly","8","19522","9.88","2557.29"
"2","suddenly","8","21143","9.96","1358.29"
"2","sun","3","74083","11.21","1358.00"
"2","sweetly","7","342","5.83","811.33"
"2","swim","4","5116","8.54","516.67"
"2","talk","4","91547","11.42","1682.33"
"2","teeth","5","10942","9.30","1985.50"
"2","telescopes","10","995","6.90","2698.56"
"2","think","5","652944","13.39","2397.50"
"2","thorns","6","640","6.46","1520.00"
"2","thoroughly","10","7520","8.93","1277.33"
"2","threats","7","7084","8.87","2186.17"
"2","tight","5","19366","9.87","1601.50"
"2","traitors","8","644","6.47","1926.14"
"2","trays","5","954","6.86","1363.75"
"2","unconsciously","13","629","6.44","1806.25"
"2","unknowingly","11","515","6.24","1699.20"
"2","useful","6","55233","10.92","1077.60"
"2","victims","7","11875","9.38","1678.00"
"2","violently","9","1905","7.55","2099.63"
"2","volcanos","8","134","4.90","1225.00"
"2","volunteers","10","5686","8.65","2212.78"
"2","warriors","8","9041","9.11","1973.14"
"2","wash","4","8590","9.06","1137.00"
"2","weapons","7","28521","10.26","1784.83"
"2","well","4","552532","13.22","1278.33"
"3","ache","4","846","6.74","1576.67"
"3","help","4","335483","12.72","1188.67"
"3","hold","4","71050","11.17","940.33"
"3","kill","4","70815","11.17","1158.33"
"3","run","3","223338","12.32","1260.00"
"3","tan","3","8619","9.06","2680.00"
"3","travel","6","45977","10.74","1763.20"
"4","abruptly","8","1230","7.11","711.00"
"4","cook","4","13551","9.51","1209.33"
"4","jump","4","26855","10.20","562.67"
"4","painfully","9","1910","7.55","1731.63"
"4","skin","4","24973","10.13","2515.67"
"4","smell","5","9693","9.18","1404.50"
"4","sting","5","2919","7.98","4789.00"
"4","this","4","3251989","14.99","1722.67"
"4","traffic","7","25455","10.14","1420.83"
"4","very","4","587578","13.28","2902.33"
"6","far","3","176812","12.08","1696.50"
"6","food","4","59724","11.00","683.67"
"6","immensely","9","1766","7.48","1750.63"
"6","loudly","6","2995","8.00","1071.40"
"6","practice","8","44294","10.70","2251.14"
"8","bite","4","8162","9.01","2396.00"
"8","is","2","6474135","15.68","2774.00"
"9","fly","3","29393","10.29","1008.50"
"10","high","4","185510","12.13","793.00"
"10","people","6","768168","13.55","1369.80"
"16","quickly","7","42041","10.65","982.17"
"176","can","3","1625073","14.30","2643.00"

